,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.3,1.99,2.25,3.24,8.32,11.46,13.82,6.49,11.57,23.49,8.393
identified_templates,11.0,329.0,29.0,71.0,642.0,337.0,45.0,148.0,80.0,38.0,173.0
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.987,1.0,0.967,0.854,0.908,0.95,0.996,0.866,0.691,0.922
PA,0.994,0.731,0.994,0.823,0.553,0.693,0.417,0.971,0.99,0.633,0.78
FGA,1.0,0.924,1.0,0.825,0.883,0.743,0.946,0.914,0.896,0.921,0.905
PTA,0.909,0.726,0.828,0.789,0.544,0.415,0.733,0.784,0.85,0.868,0.745
RTA,0.909,0.707,0.828,0.629,0.558,0.593,0.688,0.744,0.919,0.868,0.744
FTA,0.909,0.717,0.828,0.7,0.55,0.489,0.71,0.763,0.883,0.868,0.742
